Grade Distribution By Course,,,
_,,,
_,,,
College of Agricultural Sci,,,
Agricultural Education,,,
_,,,
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 17.65
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 5.88
_,,,
Course: AGRI 438  Student Total: 25  Credit Hours: 2  Grade Pts: 174  GPA Hours: 50  GPA: 3.48,,,
Grade: A,  Credits: 2,  Student Count: 18,  Pct: 72
Grade: A-,  Credits: 2,  Student Count: 1,  Pct: 4
Grade: B,  Credits: 2,  Student Count: 1,  Pct: 4
Grade: B+,  Credits: 2,  Student Count: 2,  Pct: 8
Grade: C-,  Credits: 2,  Student Count: 1,  Pct: 4
Grade: F,  Credits: 2,  Student Count: 2,  Pct: 8
_,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
_,,,
Course: ANS 121  Student Total: 100  Credit Hours: 4  Grade Pts: 1373.2  GPA Hours: 388  GPA: 3.54,,,
Grade: A,  Credits: 4,  Student Count: 45,  Pct: 45
Grade: A-,  Credits: 4,  Student Count: 25,  Pct: 25
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 5
Grade: B+,  Credits: 4,  Student Count: 9,  Pct: 9
Grade: B-,  Credits: 4,  Student Count: 6,  Pct: 6
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 2
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: S,  Credits: 4,  Student Count: 2,  Pct: 2
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 1
_,,,
Course: ANS 216  Student Total: 35  Credit Hours: 3  Grade Pts: 336  GPA Hours: 105  GPA: 3.2,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 22.86
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 20
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 20
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 20
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.86
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 5.71
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 5.71
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2.86
_,,,
Course: ANS 302  Student Total: 15  Credit Hours: 4  Grade Pts: 186  GPA Hours: 52  GPA: 3.58,,,
Grade: A,  Credits: 4,  Student Count: 5,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 26.67
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 20
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 6.67
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 13.33
_,,,
Course: ANS 314  Student Total: 67  Credit Hours: 4  Grade Pts: 838.8  GPA Hours: 260  GPA: 3.23,,,
Grade: A,  Credits: 4,  Student Count: 23,  Pct: 34.33
Grade: A-,  Credits: 4,  Student Count: 8,  Pct: 11.94
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 7.46
Grade: B+,  Credits: 4,  Student Count: 9,  Pct: 13.43
Grade: B-,  Credits: 4,  Student Count: 7,  Pct: 10.45
Grade: C,  Credits: 4,  Student Count: 6,  Pct: 8.96
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 5.97
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2.99
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 2.99
_,,,
Course: ANS 315  Student Total: 40  Credit Hours: 3  Grade Pts: 405.6  GPA Hours: 114  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 27,  Pct: 67.5
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.5
_,,,
Course: ANS 420  Student Total: 24  Credit Hours: 3  Grade Pts: 205.5  GPA Hours: 69  GPA: 2.98,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 25
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 16.67
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 12.5
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 8.33
