Grade Distribution By Course,,,
,,,
,,,
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 23.81
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 9.52
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.76
,,,
Course: ANS 445  Student Total: 23  Credit Hours: 4  Grade Pts: 289.6  GPA Hours: 88  GPA: 3.29,,,
Grade: A,  Credits: 4,  Student Count: 8,  Pct: 34.78
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 26.09
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 17.39
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 17.39
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 4.35
,,,
Course: RNG 121  Student Total: 70  Credit Hours: 4  Grade Pts: 917.6  GPA Hours: 264  GPA: 3.48,,,
Grade: A,  Credits: 4,  Student Count: 37,  Pct: 52.86
Grade: A-,  Credits: 4,  Student Count: 14,  Pct: 20
Grade: AUD,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 5.71
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 2.86
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 2.86
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2.86
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 4.29
Grade: I/D,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.43
Grade: U,  Credits: 4,  Student Count: 1,  Pct: 1.43
,,,
Course: RNG 341  Student Total: 74  Credit Hours: 3  Grade Pts: 654.3  GPA Hours: 204  GPA: 3.21,,,
Grade: A,  Credits: 3,  Student Count: 19,  Pct: 25.68
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 13.51
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 10.81
Grade: B+,  Credits: 3,  Student Count: 12,  Pct: 16.22
Grade: B-,  Credits: 3,  Student Count: 9,  Pct: 12.16
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.7
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 5.41
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.35
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.35
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.35
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.35
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.35
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 6.76
,,,
Course: RNG 353  Student Total: 98  Credit Hours: 4  Grade Pts: 1394  GPA Hours: 388  GPA: 3.59,,,
Grade: A,  Credits: 4,  Student Count: 57,  Pct: 58.16
Grade: A-,  Credits: 4,  Student Count: 17,  Pct: 17.35
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 7.14
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 5.1
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 3.06
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 3.06
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.02
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.02
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.02
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.02
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 1.02
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.02
,,,
Course: RNG 421  Student Total: 24  Credit Hours: 4  Grade Pts: 264.4  GPA Hours: 84  GPA: 3.15,,,
Grade: A,  Credits: 4,  Student Count: 8,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 20.83
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 8.33
